,Station,Easting,Northing,Zone,Grid_code,Habitat,Elevation,Slope,Aspect,Aspect_Cat2,Aspect_Cat8,Ruggedness,PopDen,RoadDen,DistPop,DistRoad
101,TIL02,570874,4554889,36,24,CF,1594,4.3624169877176,329.455643079907,N,NW,6,14.9979286193848,0.149886354804039,21971.572265625,5656.8544921875
102,TIL03,569481,4553364,36,24,CF,1868,4.97038162567928,287.222367031214,N,W,7,13.8800354003906,0.147070825099945,22332.7109375,4000
103,TIL04,568929,4550874,36,25,MF,1775,7.35142409967471,308.472605345838,N,NW,7,12.322301864624,0.145747989416122,21277.921875,4472.1357421875
104,TIL05,571559,4551622,36,24,CF,2119,5.66334624218415,303.781975730741,N,NW,7,13.8978672027588,0.14379058778286,19563.998046875,6324.55517578125
105,TIL06,569201,4556942,36,24,CF,1428,5.714902158121,328.028225939046,N,NW,5,16.2792739868164,0.160384118556976,24442.255859375,2828.42724609375
106,TIL07,570702,4556978,36,24,CF,1629,5.2873731003786,323.657092780605,N,NW,6,16.2392997741699,0.158605605363846,23339.87890625,4472.1357421875
107,TIL08,572412,4557192,36,24,CF,1707,6.15738309421551,323.494762778781,N,NW,5,16.2381496429443,0.156672209501266,21971.572265625,6324.55517578125
108,TIL09,572618,4553511,36,24,CF,2000,6.54662334739206,324.142573960047,N,NW,5,13.9789428710938,0.145195096731186,19150.716796875,7211.1025390625
109,TIL10,574588,4553752,36,24,CF,2069,3.70314007892373,334.715444981038,N,NW,6,14.1396808624268,0.143964171409607,17684.73828125,8944.271484375
110,TIL11,574514,4555065,36,24,CF,2027,4.58100893227676,332.39938112111,N,NW,4,15.1219596862793,0.147790864109993,19150.716796875,8944.271484375
111,TIL12,572301,4555011,36,24,CF,1841,5.83498449216484,303.910318521985,N,NW,4,15.0359668731689,0.148567020893097,20512.19140625,7211.1025390625
112,TIL13,570655,4553547,36,24,CF,1894,5.77965797865691,322.7091590088,N,NW,7,13.8978672027588,0.146477177739143,20706.27734375,5656.8544921875
113,TIL14,566880,4550917,36,24,CF,1594,6.41228943637894,332.884577558087,N,NW,7,12.3579597473145,0.14779931306839,23038.01171875,2828.42724609375
114,TIL15,565287,4552895,36,23,BL,1530,3.20677266644087,325.723729159647,N,NW,6,13.070951461792,0.143547281622887,25743.931640625,0
115,TIL16,565013,4551074,36,23,BL,1707,5.47951072355383,325.567882238879,N,NW,5,12.5971336364746,0.146599039435387,24834.453125,2000
116,TIL17,564942,4549499,36,24,CF,1707,5.47951072355383,325.567882238879,N,NW,5,12.5971336364746,0.146599039435387,24834.453125,2000
117,TIL18,566954,4549225,36,24,CF,2134,2.96958815281975,281.334861968883,N,W,7,12.3579597473145,0.146384552121162,22197.974609375,4000
118,TIL19,567478,4552294,36,21,O,1525,4.92461957462188,281.703849735633,N,W,7,12.9564065933228,0.1463223695755,24015.619140625,2828.42724609375
119,TKA01,525005,4621309,36,24,CF,1150,2.55416488346032,190.192212400348,S,S,6,22.8602085113525,0.113266885280609,55863.671875,5656.8544921875
120,TKA02,526828,4620831,36,25,MF,1072,3.06691371222757,183.556403265627,S,S,6,22.1341781616211,0.112624078989029,54467.87890625,7211.1025390625
121,TKA03,529089,4622786,36,25,MF,1268,2.29931404267588,315.126553867467,N,NW,6,22.4106216430664,0.111189022660255,54614.55859375,6324.55517578125
122,TKA04,530974,4623037,36,25,MF,1200,0.853751878647839,20.6862007759017,N,N,5,21.9503326416016,0.110054351389408,53336.1953125,4472.1357421875
123,TKA05,533028,4624842,36,21,O,1086,3.57542645853364,43.5208191990318,N,NE,5,22.0269527435303,0.111455604434013,53709.8671875,2828.42724609375
124,TKA06,532925,4626998,36,23,BL,951,2.48353793822503,48.2689099262517,N,NE,4,24.2270851135254,0.119995638728142,55342.1171875,2000
125,TKA07,530892,4626978,36,21,O,1012,3.61320282142916,308.701155529848,N,NW,5,24.8511943817139,0.117804244160652,56504.42578125,4000
126,TKA08,531022,4625400,36,23,BL,1103,3.72266922437795,334.72085450248,N,NW,5,22.6088619232178,0.111724585294724,54906.73828125,4000
127,TKA09,527019,4622798,36,25,MF,1136,1.4552028853298,21.934016323391,N,N,6,22.7087230682373,0.113721258938313,55935.23046875,6324.55517578125
128,TKA10,529150,4624681,36,23,BL,946,5.00267065108011,332.824532162868,N,NW,5,23.1149826049805,0.112082958221436,56149.3515625,6324.55517578125
129,TKA11,527151,4624685,36,23,BL,912,4.53874055305589,43.3870898823168,N,NE,4,23.4978408813477,0.115117505192757,57434.74609375,6324.55517578125
130,TKA12,526765,4627212,36,24,CF,881,5.01897937279181,53.3826049654999,N,NE,4,26.0501480102539,0.117119893431664,58963.97265625,4472.1357421875
131,TKA13,525546,4627344,36,25,MF,1127,4.21205042545092,18.320802650456,N,N,6,26.5784511566162,0.117540866136551,60255.70703125,2000
132,TKA14,528942,4621123,36,25,MF,1110,3.20427536991019,217.57112563538,S,SW,5,22.4106216430664,0.113630369305611,53110.734375,6324.55517578125
133,TKA15,528782,4627273,36,24,CF,741,3.46167718113574,311.860375710757,N,NW,5,25.4758243560791,0.116215772926807,57712.6484375,5656.8544921875
134,TKA16,524967,4624875,36,24,CF,1181,1.19008289564036,28.4865652021638,N,NE,4,23.7543601989746,0.117589719593525,58760.10546875,4000
135,TKA17,523110,4622977,36,25,MF,908,3.1161025617201,308.74641798276,N,NW,5,22.9257736206055,0.11857283115387,58691.9921875,4472.1357421875
136,TKA18,523157,4625217,36,25,MF,1060,5.33010927849612,277.819089702341,N,W,6,23.9153518676758,0.118512734770775,60122.7890625,4000
137,TKA19,524808,4623051,36,23,BL,1199,1.06033725662135,303.041645612774,N,NW,6,22.8602085113525,0.116904407739639,57295.2890625,6000
138,TKA20,522658,4621085,36,25,MF,1156,1.48287962811475,163.848793910329,S,S,5,22.9257736206055,0.114967480301857,57295.2890625,4000
139,TKG01,515810,4603839,36,25,MF,1182,1.20958772962393,348.679638637441,N,N,4,17.5141201019287,0.12266356498003,52141.6328125,0
140,TKG02,517572,4603646,36,29,O,1265,1.05920030337309,357.216005628479,N,N,6,17.4424247741699,0.123744919896126,50326.43359375,2000
141,TKG03,517704,4605522,36,23,BL,1148,2.86890965361218,42.6118428538462,N,NE,7,17.8375587463379,0.126051604747772,51212.7890625,2000
142,TKG04,516495,4608356,36,24,CF,1337,1.10507180966141,80.2182417950069,N,E,7,18.2722854614258,0.122015789151192,54888.5234375,2828.42724609375
143,TKG05,518623,4606740,36,23,BL,1148,2.86890965361218,42.6118428538462,N,NE,7,18.4276714324951,0.126051604747772,51212.7890625,0
144,TKG06,517198,4607284,36,24,CF,1337,1.10507180966141,80.2182417950069,N,E,7,18.4276714324951,0.122015789151192,54888.5234375,0
145,TKG07,514491,4609217,36,29,O,1188,4.18322519747567,284.371905198027,N,W,7,18.4428310394287,0.117379039525986,56628.171875,4472.1357421875
146,TTO01,580150,4545764,36,29,O,1716,4.28716494424928,161.672016139766,S,S,7,15.976616859436,0.121940277516842,7921.48388671875,6000
147,TTO02,581353,4550105,36,29,O,1976,6.22551339055353,185.012717111045,S,S,6,14.7669267654419,0.133739545941353,11434.603515625,4000
148,TTO03,582106,4545742,36,29,O,1457,3.83930832037299,145.406766698942,S,SE,7,15.976616859436,0.115655556321144,6383.54248046875,4000
149,TTO04,579041,4546728,36,24,CF,1421,4.41466697653445,184.275923550225,S,S,7,14.9246959686279,0.124936580657959,9630.685546875,8000
150,TTO05,581815,4547461,36,24,CF,1441,5.70392861584792,162.877044018137,S,S,7,15.2559213638306,0.130832090973854,9630.685546875,4000
151,TTO06,581567,4547947,36,24,CF,1441,5.70392861584792,162.877044018137,S,S,7,15.2559213638306,0.130832090973854,9630.685546875,4000
152,TTO07,582501,4547757,36,24,CF,1441,5.70392861584792,162.877044018137,S,S,7,15.2559213638306,0.130832090973854,9630.685546875,4000
153,TTO08,585091,4550341,36,25,MF,1521,10.1853101051475,131.046306100497,S,SE,6,16.8349876403809,0.128332406282425,10805.109375,2000
154,TTO09,582978,4547689,36,24,CF,1441,5.70392861584792,162.877044018137,S,S,7,16.4103317260742,0.130832090973854,9630.685546875,4000
155,TTO10,579935,4547689,36,24,CF,1517,4.64377121386781,159.859630277136,S,S,7,15.2559213638306,0.135194361209869,10712.138671875,6000
156,TTO11,578677,4548788,36,29,O,1745,5.32358034192763,169.101958615098,S,S,7,14.3011455535889,0.138025090098381,12031.205078125,8000
157,TTO12,579365,4550138,36,29,O,1812,5.48360972210975,141.7356723254,S,SE,6,14.7669267654419,0.142582640051842,13518.5029296875,8000
158,TUL01,480933,4599426,36,12,O,1032,1.75190184676653,15.7138960618894,N,N,4,33.3123931884766,0.111432261765003,32630.5078125,5656.8544921875
159,TUL02,483438,4602002,36,25,MF,1130,1.77018502327788,294.884722131694,N,NW,6,30.6717395782471,0.111259467899799,35110.5390625,8246.2109375
160,TUL03,482466,4600497,36,25,MF,1052,2.51420232446893,330.408418840356,N,NW,6,33.3123931884766,0.109272949397564,34565.15625,7211.1025390625
161,TUL04,484374,4600720,36,25,MF,1130,1.77018502327788,294.884722131694,N,NW,6,30.94407081604,0.111259467899799,35110.5390625,8246.2109375
162,TUL05,485168,4599083,36,24,CF,1043,2.39684550016707,132.925063714373,S,SE,6,29.2646751403809,0.11164840310812,33893.21484375,10000
163,TUL06,483117,4596204,36,24,CF,1071,3.73336274684894,167.789007942964,S,S,4,30.5988388061523,0.113219253718853,31316.9296875,8944.271484375
164,TUL07,482945,4598074,36,24,CF,1016,0.764359897507546,199.338521760576,S,S,4,30.8454494476318,0.112426973879337,33207.6796875,8944.271484375
165,TUL08,485002,4597321,36,24,CF,1011,4.69893876503802,148.970246606174,S,SE,7,29.2646751403809,0.112323895096779,32042.94140625,10000
166,TUL09,484727,4595315,36,24,CF,1011,4.69893876503802,148.970246606174,S,SE,7,29.3537368774414,0.112323895096779,32042.94140625,7211.1025390625
167,TUL10,481251,4595023,36,25,MF,747,6.59954686816618,167.219775736375,S,S,4,32.2793197631836,0.112399406731129,26884.01171875,4472.1357421875
168,TUL11,480998,4602152,36,20,O,1052,2.51420232446893,330.408418840356,N,NW,6,33.5981407165527,0.109272949397564,34565.15625,6324.55517578125
169,TUL12,479273,4600887,36,25,MF,1052,3.47040233393117,337.364099163307,N,NW,6,33.3123931884766,0.109272949397564,34565.15625,4472.1357421875
170,TUL13,480947,4597357,36,12,O,1220,3.20248751567296,139.181307933545,S,SE,6,32.8781127929688,0.113328889012337,30211.75390625,8246.2109375
171,TUL14,479079,4598755,36,21,O,1039,3.34566577860641,350.690070950356,N,N,6,35.2609405517578,0.110403515398502,32167.53125,5656.8544921875
172,TUL15,479156,4596915,36,25,MF,1220,2.25442524238444,174.265655264556,S,S,6,32.8781127929688,0.113328889012337,30211.75390625,7211.1025390625
173,TUL16,478761,4594956,36,25,MF,858,7.16380136563081,180.691856867386,S,S,4,34.3289833068848,0.112774655222893,26320.14453125,4000
